Gold (OG|GC) OG3Q6 (1.52 DTE) vs 4512 (+0.7) - Open Interest
Put: 4,248  Call: 5,655  Vol: 26.74  Vol Chg: 0.17  Future Chg: 0.7
Strike,Call,Put,Vol Settle
4285,0,38,0.371730745104486
4290,0,7,0.3653372127911041
4295,0,12,0.35916965296115677
4300,54,277,0.3532251250322247
4305,0,21,0.3475006978310944
4310,0,22,0.3419934495956056
4315,0,3,0.3367004679714398
4320,0,21,0.3316188500163264
4325,26,169,0.3267457021955522
4330,1,53,0.32207814038596894
4335,0,10,0.31761328987377624
4340,1,4,0.3133482853539249
4345,0,6,0.3092802709326463
4350,36,342,0.30540640012492304
4355,16,23,0.3017238358570751
4360,1,44,0.2982297504625251
4365,1,19,0.29492132568697116
4370,0,21,0.2917957526852888
4375,91,75,0.28885023202116145
4380,4,4,0.28608197366881427
4385,1,13,0.2834881970127583
4390,4,25,0.28106613084628407
4395,3,2,0.2788130133739344
4400,296,66,0.27672609220800837
4405,16,5,0.27480262437242686
4410,8,19,0.2730398762996913
4415,8,10,0.2714351238329016
4420,20,46,0.26998565222464777
4425,69,36,0.2686887561376068
4430,6,2,0.2675417396439741
4435,15,42,0.26654191622534995
4440,16,24,0.265686608773791
4445,5,31,0.26497314959067353
4450,189,136,0.26439888038788695
4455,26,3,0.263961152286015
4460,24,24,0.26365732581695056
4465,7,25,0.26348477092088274
4470,12,30,0.2634408669486561
4475,128,63,0.26352300266049156
4480,64,5,0.26372857622706647
4485,38,10,0.2640549952279798
4490,27,4,0.2644996766535428
4495,8,1,0.265060046902704
4500,358,54,0.26573354178555064
4505,25,8,0.26651760652094936
4510,105,17,0.26740969573836537
4515,66,18,0.2684072734761571
4520,47,9,0.2695078131823152
4525,455,8,0.2707087977169067
4530,90,61,0.27200771934752765
4535,35,2,0.27340207975214526
4540,14,3,0.2748893900186431
4545,21,60,0.2764671706440822
4550,252,2,0.2781329515366906
4555,14,0,0.27988427201319155
4560,35,0,0.2817186808014185
4565,11,0,0.28363373603718856
4570,15,0,0.2856270052680543
4575,108,1,0.2876960654502341
4580,19,0,0.28983850294957847
4585,12,0,0.29205191354236604
4590,20,0,0.2943339024149054
4595,10,0,0.29668208416194375
4600,476,3,0.2990940827900772
4605,45,0,0.30156753171377204
4610,24,1,0.3041000737584909
4615,37,0,0.3066893611585897
4620,42,0,0.3093330555598186
4625,113,0,0.3120288280151158
4630,34,0,0.31477435898978
4635,31,0,0.317567338358117
4640,37,0,0.3204054654030415
4645,21,0,0.32328644881920354
4650,468,0,0.3262080067094075
4655,8,0,0.32916786658711317
4660,23,0,0.3321637653756966
4665,28,0,0.3351934494075408
4670,19,0,0.3382546744256274
4675,177,0,0.34134520558239956
4680,0,0,0.3444628174408422
4685,0,0,0.3476052939716965
4690,0,0,0.3507704285575528
4695,0,0,0.35395602399012205
4700,305,0,0.35715989247131574
4705,0,0,0.36037985561154073
4710,2,0,0.363613744432314
4715,6,0,0.36685939936467094
4720,2,0,0.37011467024967715
4725,29,0,0.3733774163368935
4730,15,0,0.3766455062871614
4735,0,0,0.3799168181703294
4740,10,0,0.3831892394667875
4745,2,0,0.38646066706621696
4750,32,0,0.38972900726741955
